iter	RMSE
270	4.539335855
271	4.532282106
272	4.529547913
273	4.527616588
274	4.522991528
275	4.517893997
276	4.514902067
277	4.508584966
278	4.503911269
279	4.500190484
280	4.497385273
281	4.495784957
282	4.493779002
283	4.490093191
284	4.485604468
285	4.484388377
286	4.47952346
287	4.472990141
288	4.469413581
289	4.465005035
290	4.457023618
291	4.452689892
292	4.448840177
293	4.447672184
294	4.442704576
295	4.438918185
296	4.434543389
297	4.42829976
298	4.427128628
299	4.425412457
300	4.421283636
301	4.417043724
302	4.415061074
303	4.412653839
304	4.406832968
305	4.40571053
306	4.400985908
307	4.400104845
308	4.395888308
309	4.393744038
310	4.389035016
311	4.382009126
312	4.378600372
313	4.376771149
314	4.373167402
315	4.368425232
316	4.363860904
317	4.361737133
318	4.358514987
319	4.35179904
320	4.35056206
321	4.346603082
322	4.342636146
323	4.337540384
324	4.330789238
325	4.326619884
326	4.324056222
327	4.31912093
328	4.314809336
329	4.313163043
330	4.311039505
331	4.306665208
332	4.304652818
333	4.298396105
334	4.295439381
335	4.294727184
336	4.289590955
337	4.288423044
338	4.286763292
339	4.284464559
340	4.27821982
341	4.273028142
342	4.271961504
343	4.270793446
344	4.26630332
345	4.263651287
346	4.260115723
347	4.256770854
348	4.254515277
349	4.250815862
350	4.247576759
351	4.241809554
352	4.239208479
353	4.234357747
354	4.233594366
355	4.229199032
356	4.225966066
357	4.225305225
358	4.221517896
359	4.220118327
360	4.218566208
361	4.213757821
362	4.212222065
363	4.209112391
364	4.204675335
365	4.199174354
366	4.196744163
367	4.195237212
368	4.194238852
369	4.189232042
370	4.188237812
371	4.184295352
372	4.179825693
373	4.179369651
374	4.174293725
375	4.172058715
376	4.167094105
377	4.163237052
378	4.158792503
379	4.157848006
380	4.153509955
381	4.149320284
382	4.147232639
383	4.146620308
384	4.144018427
385	4.142988666
386	4.142133925
387	4.141254048
388	4.137874053
389	4.134440487
390	4.131391454
391	4.12802688
392	4.121751823
393	4.117157594
394	4.114377758
395	4.111867999
396	4.107001191
397	4.105271888
398	4.102553895
399	4.097670549
400	4.093917646
401	4.089737112
402	4.087418785
403	4.085628239
404	4.083940199
405	4.079679141
406	4.079089629
407	4.077442065
408	4.074902913
409	4.072948717
410	4.070974746
411	4.068080374
412	4.066822456
413	4.066220535
414	4.062273765
415	4.058307403
416	4.053426148
417	4.053046322
418	4.051775166
419	4.051113899
420	4.049399729
421	4.04410394
422	4.03843263
423	4.035096496
424	4.031629368
425	4.030554889
426	4.028840214
427	4.024007987
428	4.020086342
429	4.01681574
430	4.015649861
431	4.013786896
432	4.00952691
433	4.00536684
434	4.001135942
435	3.997868481
436	3.996687944
437	3.992716233
438	3.991929755
439	3.987642613
440	3.98298734
441	3.97969787
442	3.97758441
443	3.973767734
444	3.970685925
445	3.970125517
446	3.967939444
447	3.967182929
448	3.962657224
449	3.959389013
450	3.956867959
451	3.951535571
452	3.949672159
453	3.945309913
454	3.941576206
455	3.940790916
456	3.937133585
457	3.934457211
458	3.930487579
459	3.927103249
460	3.925835533
461	3.924612175
462	3.921663636
463	3.916246223
464	3.912721675
465	3.90943811
466	3.908845759
467	3.907370932
468	3.904771851
469	3.903254135
470	3.899684852
471	3.89480712
472	3.892185746
473	3.886796239
474	3.884900155
475	3.8814678
476	3.87788049
477	3.874781979
478	3.872859304
479	3.871609505
480	3.86774733
481	3.866050437
482	3.861103329
483	3.859028435
484	3.854941093
485	3.853752318
486	3.85283813
487	3.852345766
488	3.846953749
489	3.845780931
490	3.8414743
491	3.840082613
492	3.835108735
493	3.831027412
494	3.828274218
495	3.827843902
496	3.827043579
497	3.82448255
498	3.822985707
499	3.82186529
500	3.820586048
501	3.817829727
502	3.81625415
503	3.812892601
504	3.811651618
505	3.807463224
506	3.806866831
507	3.806247339
508	3.803368871
509	3.800690042
510	3.798821525
511	3.796941688
512	3.795387208
513	3.792861847
514	3.789880724
515	3.785281821
516	3.784126802
517	3.780673547
518	3.777754084
519	3.776703438
520	3.774167289
521	3.770314057
522	3.766831612
523	3.764625988
524	3.762772164
525	3.761103852
526	3.759579294
527	3.759029926
528	3.758552233
529	3.756549196
530	3.7537821
531	3.752482287
532	3.750202681
533	3.747041331
534	3.745351769
535	3.742593955
536	3.739428423
537	3.735263376
538	3.732645007
539	3.728995474
540	3.723988185
541	3.721886628
542	3.717922925
543	3.715574174
544	3.710639569
545	3.707309957
546	3.704870613
547	3.703537356
548	3.700206055
549	3.698567966
550	3.696815434
551	3.694607277
552	3.6910567
553	3.6890477
554	3.686062281
555	3.684746129
556	3.683753024
557	3.680957788
558	3.67784308
559	3.675879578
560	3.673538764
561	3.671498906
562	3.670426758
563	3.667889301
564	3.664920976
565	3.661684641
566	3.658189891
567	3.657078699
568	3.656473986
569	3.653516539
570	3.649547184
571	3.646403585
572	3.645773846
573	3.645191019
574	3.642189603
575	3.638041635
576	3.636323537
577	3.634900728
578	3.632272011
579	3.631137163
580	3.628527803
581	3.623779031
582	3.620255981
583	3.615566449
584	3.613759831
585	3.609521464
586	3.607561281
587	3.603349997
588	3.601283127
589	3.598657406
590	3.597356832
591	3.593129629
592	3.59056874
593	3.587400939
594	3.583856369
595	3.579387678
596	3.576000676
597	3.575500234
598	3.572905569
599	3.568548672
600	3.566824758
601	3.563616356
602	3.561392869
603	3.559704518
604	3.558796748
605	3.557514428
606	3.554852897
607	3.553294691
608	3.552656879
609	3.551699594
610	3.549520482
611	3.548181344
612	3.544981895
613	3.544101367
614	3.540528182
615	3.537693464
616	3.536708257
617	3.533760363
618	3.531690242
619	3.531068391
620	3.530487709
621	3.529873797
622	3.525848019
623	3.522537287
624	3.519797981
625	3.517307928
626	3.516479148
627	3.515200403
628	3.513348956
629	3.512903181
630	3.509654619
631	3.507158625
632	3.505074012
633	3.503326442
634	3.501246048
635	3.498690115
636	3.495476497
637	3.49263494
638	3.490682823
639	3.488027871
640	3.487721642
641	3.484832391
642	3.482967872
643	3.480637583
644	3.479432799
645	3.477463493
646	3.476911386
647	3.474790793
648	3.473104539
649	3.471613887
650	3.470145253
651	3.46869867
652	3.466029595
653	3.462838232
654	3.45959925
655	3.45567225
656	3.452896764
657	3.4501486
658	3.447825065
659	3.446542432
660	3.443629797
661	3.441335963
662	3.439044582
663	3.437632659
664	3.434621057
665	3.433128427
666	3.431417265
667	3.42942192
668	3.42570439
669	3.423589554
670	3.421437191
671	3.42034502
672	3.417412539
673	3.416000673
674	3.413812392
675	3.412853833
676	3.411243188
677	3.404878483
678	3.403366391
679	3.400309832
680	3.399796411
681	3.39753836
682	3.394769935
683	3.392768165
684	3.392277635
685	3.390325446
686	3.390215489
687	3.388302875
688	3.387477067
689	3.383875296
690	3.38190686
691	3.378721034
692	3.376322405
693	3.375978407
694	3.372256099
695	3.369687424
696	3.369580557
697	3.366877596
698	3.365770699
699	3.364028857
700	3.360596352
701	3.355637778
702	3.355356865
703	3.351726688
704	3.349414912
705	3.349243306
706	3.348141248
707	3.347515249
708	3.344682562
709	3.342634205
710	3.338650801
711	3.335762435
712	3.335662155
713	3.334385102
714	3.3323173
715	3.330604995
716	3.330393434
717	3.327805173
718	3.32644925
719	3.324278169
720	3.32232949
721	3.320449252
722	3.317162117
723	3.314839454
724	3.313119803
725	3.311732763
726	3.310733539
727	3.310051414
728	3.30840777
729	3.307610059
730	3.306257363
731	3.306023213
732	3.304866235
733	3.303725825
734	3.302409859
735	3.301801085
736	3.299709864
737	3.295402431
738	3.294822345
739	3.292188343
740	3.290857816
741	3.288920903
742	3.287341014
743	3.285756781
744	3.283704918
745	3.281913559
746	3.278691123
747	3.276435272
748	3.275141424
749	3.272667842
750	3.270965134
751	3.269627229
752	3.267980529
753	3.266676922
754	3.26621761
755	3.264287068
756	3.262122578
757	3.260704373
758	3.258544869
759	3.255823082
760	3.253833278
761	3.251151699
762	3.249929686
763	3.247511177
764	3.243708216
765	3.2432576
766	3.241024283
767	3.240377106
768	3.237322484
769	3.236172051
770	3.234993616
771	3.233226239
772	3.232126986
773	3.231713032
774	3.230439267
775	3.228426507
776	3.228131899
777	3.227264115
778	3.226493668
779	3.22525154
780	3.222584452
781	3.21971574
782	3.218728937
783	3.217900777
784	3.215637799
785	3.213958628
786	3.212377222
787	3.209534665
788	3.208750009
789	3.208205586
790	3.206964275
791	3.20655732
792	3.205596278
793	3.203849215
794	3.203761518
795	3.202606325
796	3.201265359
797	3.201221803
798	3.199349586
799	3.1988571
800	3.197851244
801	3.197361529
802	3.193269805
803	3.190740413
804	3.189565933
805	3.188138673
806	3.185145585
807	3.184883732
808	3.180108223
809	3.176672486
810	3.173170456
811	3.170663792
812	3.170372727
813	3.16662647
814	3.165083756
815	3.162847632
816	3.16115185
817	3.158540572
818	3.158283608
819	3.156142834
820	3.15423906
821	3.152965074
822	3.152401235
823	3.149916215
824	3.148985908
825	3.147066546
826	3.145801245
827	3.145113192
828	3.142685993
829	3.141710915
830	3.141154079
831	3.139494995
832	3.138712241
833	3.136205992
834	3.133779699
835	3.131251754
836	3.130192801
837	3.128811452
838	3.12723307
839	3.126702914
840	3.124367159
841	3.120909373
842	3.119300189
843	3.116758271
844	3.116381568
845	3.115553922
846	3.113665146
847	3.113058765
848	3.112181685
849	3.110619544
850	3.109496658
851	3.109166251
852	3.108517579
853	3.107806139
854	3.105526811
855	3.105301524
856	3.104678791
857	3.103090577
858	3.101896272
859	3.099722584
860	3.097759932
861	3.094897695
862	3.094551593
863	3.091740584
864	3.090852293
865	3.08909684
866	3.088571864
867	3.087525654
868	3.084378239
869	3.082459036
870	3.079550087
871	3.078268109
872	3.074948846
873	3.073410207
874	3.070506733
875	3.06880164
876	3.066734655
877	3.063883041
878	3.063009448
879	3.061858043
880	3.06065761
881	3.058325015
882	3.057266966
883	3.055247735
884	3.053082062
885	3.051643407
886	3.04971244
887	3.047037714
888	3.044755726
889	3.043694462
890	3.041736734
891	3.040438021
892	3.039844636
893	3.038400271
894	3.035614072
895	3.032535218
896	3.029806485
897	3.027794695
898	3.025783156
899	3.022994083
900	3.019668131
901	3.017863993
902	3.01567361
903	3.014070115
904	3.012698469
905	3.009671862
906	3.00733692
907	3.006973381
908	3.006824354
909	3.006779847
910	3.006721456
911	3.005111415
912	3.00309287
913	3.00103916
914	2.999018247
915	2.997614497
916	2.995410157
917	2.993624224
918	2.991794942
919	2.989369924
920	2.987231924
921	2.985686371
922	2.98496004
923	2.983610841
924	2.982933265
925	2.980778889
926	2.980161422
927	2.979731224
928	2.979493346
929	2.978235972
930	2.976899812
931	2.976577083
932	2.975082376
933	2.974060257
934	2.97319963
935	2.971525894
936	2.970317288
937	2.968141295
938	2.965688301
939	2.965021755
940	2.963495589
941	2.962895078
942	2.960783583
943	2.959904852
944	2.958162875
945	2.954382241
946	2.953266642
947	2.95134606
948	2.950806838
949	2.948458162
950	2.946839475
951	2.946540654
952	2.945224273
953	2.945067651
954	2.944296207
955	2.941608617
956	2.940685766
957	2.939348423
958	2.937891357
959	2.937483844
960	2.936816635
961	2.935696221
962	2.933363736
963	2.931539864
964	2.929825308
965	2.92764212
966	2.924745762
967	2.922837315
968	2.919961359
969	2.918171441
970	2.915298463
971	2.914804085
972	2.912704445
973	2.912501591
974	2.910610022
975	2.909825474
976	2.909314753
977	2.906091919
978	2.905163187
979	2.904669087
980	2.9026515
981	2.899476471
982	2.898606277
983	2.89601438
984	2.895283104
985	2.893375371
986	2.892975159
987	2.892175348
988	2.889664384
989	2.888613427
990	2.888127625
991	2.886118287
992	2.885559774
993	2.884033909
994	2.882828596
995	2.880513748
996	2.87979923
997	2.87891916
998	2.878065165
999	2.877679133
